time,pnl,atp,lowest_retracement_pct
2025-07-25 14:26:00+05:30,0.0,0.0,0.0
2025-07-25 14:27:00+05:30,22.35,22.35,0.0
2025-07-25 14:28:00+05:30,-0.15,22.35,100.67
2025-07-25 14:29:00+05:30,2.8,22.35,100.67
2025-07-25 14:30:00+05:30,1.65,22.35,100.67
2025-07-25 14:31:00+05:30,2.45,22.35,100.67
2025-07-25 14:32:00+05:30,5.6,22.35,100.67
2025-07-25 14:33:00+05:30,7.5,22.35,100.67
2025-07-25 14:34:00+05:30,9.6,22.35,100.67
2025-07-25 14:35:00+05:30,3.75,22.35,100.67
2025-07-25 14:36:00+05:30,1.8,22.35,100.67
2025-07-25 14:37:00+05:30,3.5,22.35,100.67
2025-07-25 14:38:00+05:30,-0.95,22.35,104.25
