time,pnl,atp,lowest_retracement_pct
2025-07-25 15:05:00+05:30,0.0,0.0,0.0
2025-07-25 15:06:00+05:30,5.05,5.05,0.0
2025-07-25 15:07:00+05:30,6.75,6.75,0.0
2025-07-25 15:08:00+05:30,8.8,8.8,0.0
2025-07-25 15:09:00+05:30,17.55,17.55,0.0
2025-07-25 15:10:00+05:30,14.65,17.55,16.52
2025-07-25 15:11:00+05:30,10.75,17.55,38.75
2025-07-25 15:12:00+05:30,10.35,17.55,41.03
2025-07-25 15:13:00+05:30,12.6,17.55,41.03
2025-07-25 15:14:00+05:30,12.95,17.55,41.03
2025-07-25 15:15:00+05:30,9.85,17.55,43.87
2025-07-25 15:16:00+05:30,5.7,17.55,67.52
