time,pnl,atp,lowest_retracement_pct
2025-07-25 09:41:00+05:30,0.0,0.0,0.0
2025-07-25 09:42:00+05:30,8.2,8.2,0.0
2025-07-25 09:43:00+05:30,12.15,12.15,0.0
2025-07-25 09:44:00+05:30,21.3,21.3,0.0
2025-07-25 09:45:00+05:30,23.65,23.65,0.0
2025-07-25 09:46:00+05:30,23.65,23.65,0.0
2025-07-25 09:47:00+05:30,28.35,28.35,0.0
2025-07-25 09:48:00+05:30,32.15,32.15,0.0
2025-07-25 09:49:00+05:30,25.5,32.15,20.68
2025-07-25 09:50:00+05:30,5.0,32.15,84.45
2025-07-25 09:51:00+05:30,16.05,32.15,84.45
2025-07-25 09:52:00+05:30,20.05,32.15,84.45
2025-07-25 09:53:00+05:30,17.35,32.15,84.45
