time,pnl,atp,lowest_retracement_pct
2025-07-25 11:20:00+05:30,0.0,0.0,0.0
2025-07-25 11:21:00+05:30,2.75,2.75,0.0
2025-07-25 11:22:00+05:30,3.15,3.15,0.0
2025-07-25 11:23:00+05:30,2.6,3.15,17.46
2025-07-25 11:24:00+05:30,5.6,5.6,0.0
2025-07-25 11:25:00+05:30,1.9,5.6,66.07
2025-07-25 11:26:00+05:30,-3.5,5.6,162.5
2025-07-25 11:27:00+05:30,0.55,5.6,162.5
2025-07-25 11:28:00+05:30,-2.45,5.6,162.5
2025-07-25 11:29:00+05:30,0.0,5.6,162.5
2025-07-25 11:30:00+05:30,9.25,9.25,0.0
2025-07-25 11:31:00+05:30,31.65,31.65,0.0
2025-07-25 11:32:00+05:30,9.55,31.65,69.83
2025-07-25 11:33:00+05:30,-8.7,31.65,127.49
2025-07-25 11:34:00+05:30,-10.6,31.65,133.49
