time,pnl,atp,lowest_retracement_pct
2025-07-25 11:00:00+05:30,0.0,0.0,0.0
2025-07-25 11:01:00+05:30,-11.2,0.0,0.0
2025-07-25 11:02:00+05:30,-4.2,0.0,0.0
2025-07-25 11:03:00+05:30,0.0,0.0,0.0
2025-07-25 11:04:00+05:30,0.65,0.65,0.0
2025-07-25 11:05:00+05:30,7.15,7.15,0.0
2025-07-25 11:06:00+05:30,15.65,15.65,0.0
2025-07-25 11:07:00+05:30,10.0,15.65,36.1
2025-07-25 11:08:00+05:30,12.5,15.65,36.1
2025-07-25 11:09:00+05:30,8.0,15.65,48.88
2025-07-25 11:10:00+05:30,1.7,15.65,89.14
2025-07-25 11:11:00+05:30,-4.85,15.65,130.99
