time,pnl,atp,lowest_retracement_pct
2025-07-25 10:05:00+05:30,0.0,0.0,0.0
2025-07-25 10:06:00+05:30,-5.1,0.0,0.0
2025-07-25 10:07:00+05:30,8.7,8.7,0.0
2025-07-25 10:08:00+05:30,3.3,8.7,62.07
2025-07-25 10:09:00+05:30,10.7,10.7,0.0
2025-07-25 10:10:00+05:30,11.9,11.9,0.0
2025-07-25 10:11:00+05:30,9.85,11.9,17.23
2025-07-25 10:12:00+05:30,13.4,13.4,0.0
2025-07-25 10:13:00+05:30,6.4,13.4,52.24
2025-07-25 10:14:00+05:30,19.3,19.3,0.0
2025-07-25 10:15:00+05:30,33.65,33.65,0.0
2025-07-25 10:16:00+05:30,57.4,57.4,0.0
2025-07-25 10:17:00+05:30,50.95,57.4,11.24
2025-07-25 10:18:00+05:30,56.05,57.4,11.24
2025-07-25 10:19:00+05:30,58.9,58.9,0.0
2025-07-25 10:20:00+05:30,44.7,58.9,24.11
2025-07-25 10:21:00+05:30,48.85,58.9,24.11
2025-07-25 10:22:00+05:30,42.65,58.9,27.59
2025-07-25 10:23:00+05:30,52.1,58.9,27.59
2025-07-25 10:24:00+05:30,48.3,58.9,27.59
2025-07-25 10:25:00+05:30,50.6,58.9,27.59
2025-07-25 10:26:00+05:30,55.0,58.9,27.59
2025-07-25 10:27:00+05:30,49.5,58.9,27.59
2025-07-25 10:28:00+05:30,55.6,58.9,27.59
2025-07-25 10:29:00+05:30,51.95,58.9,27.59
2025-07-25 10:30:00+05:30,54.25,58.9,27.59
2025-07-25 10:31:00+05:30,67.1,67.1,0.0
2025-07-25 10:32:00+05:30,58.25,67.1,13.19
2025-07-25 10:33:00+05:30,61.95,67.1,13.19
2025-07-25 10:34:00+05:30,55.5,67.1,17.29
2025-07-25 10:35:00+05:30,55.9,67.1,17.29
2025-07-25 10:36:00+05:30,67.75,67.75,0.0
2025-07-25 10:37:00+05:30,72.5,72.5,0.0
2025-07-25 10:38:00+05:30,70.85,72.5,2.28
2025-07-25 10:39:00+05:30,70.55,72.5,2.69
2025-07-25 10:40:00+05:30,68.25,72.5,5.86
2025-07-25 10:41:00+05:30,70.45,72.5,5.86
2025-07-25 10:42:00+05:30,68.0,72.5,6.21
2025-07-25 10:43:00+05:30,56.25,72.5,22.41
