time,pnl,atp,lowest_retracement_pct
2025-07-25 14:43:00+05:30,0.0,0.0,0.0
2025-07-25 14:44:00+05:30,-0.85,0.0,0.0
2025-07-25 14:45:00+05:30,-4.35,0.0,0.0
2025-07-25 14:46:00+05:30,4.9,4.9,0.0
2025-07-25 14:47:00+05:30,-0.05,4.9,101.02
2025-07-25 14:48:00+05:30,-2.05,4.9,141.84
2025-07-25 14:49:00+05:30,7.2,7.2,0.0
2025-07-25 14:50:00+05:30,4.1,7.2,43.06
2025-07-25 14:51:00+05:30,9.25,9.25,0.0
2025-07-25 14:52:00+05:30,11.6,11.6,0.0
2025-07-25 14:53:00+05:30,5.55,11.6,52.16
2025-07-25 14:54:00+05:30,5.95,11.6,52.16
2025-07-25 14:55:00+05:30,3.3,11.6,71.55
2025-07-25 14:56:00+05:30,2.95,11.6,74.57
2025-07-25 14:57:00+05:30,1.2,11.6,89.66
