time,pnl,atp,lowest_retracement_pct
2025-07-25 13:39:00+05:30,0.0,0.0,0.0
2025-07-25 13:40:00+05:30,-2.75,0.0,0.0
2025-07-25 13:41:00+05:30,6.55,6.55,0.0
2025-07-25 13:42:00+05:30,9.95,9.95,0.0
2025-07-25 13:43:00+05:30,9.85,9.95,1.01
2025-07-25 13:44:00+05:30,11.8,11.8,0.0
2025-07-25 13:45:00+05:30,6.35,11.8,46.19
2025-07-25 13:46:00+05:30,13.95,13.95,0.0
2025-07-25 13:47:00+05:30,17.6,17.6,0.0
2025-07-25 13:48:00+05:30,15.65,17.6,11.08
2025-07-25 13:49:00+05:30,14.3,17.6,18.75
2025-07-25 13:50:00+05:30,13.2,17.6,25.0
2025-07-25 13:51:00+05:30,12.35,17.6,29.83
2025-07-25 13:52:00+05:30,9.35,17.6,46.88
2025-07-25 13:53:00+05:30,23.7,23.7,0.0
2025-07-25 13:54:00+05:30,23.2,23.7,2.11
2025-07-25 13:55:00+05:30,18.8,23.7,20.68
2025-07-25 13:56:00+05:30,21.65,23.7,20.68
2025-07-25 13:57:00+05:30,22.8,23.7,20.68
2025-07-25 13:58:00+05:30,21.05,23.7,20.68
2025-07-25 13:59:00+05:30,22.9,23.7,20.68
2025-07-25 14:00:00+05:30,26.45,26.45,0.0
2025-07-25 14:01:00+05:30,18.4,26.45,30.43
2025-07-25 14:02:00+05:30,16.1,26.45,39.13
