time,pnl,atp,lowest_retracement_pct
2025-07-25 10:43:00+05:30,0.0,0.0,0.0
2025-07-25 10:44:00+05:30,7.15,7.15,0.0
2025-07-25 10:45:00+05:30,1.15,7.15,83.92
2025-07-25 10:46:00+05:30,1.4,7.15,83.92
2025-07-25 10:47:00+05:30,-1.3,7.15,118.18
2025-07-25 10:48:00+05:30,4.2,7.15,118.18
2025-07-25 10:49:00+05:30,8.55,8.55,0.0
2025-07-25 10:50:00+05:30,12.0,12.0,0.0
2025-07-25 10:51:00+05:30,8.85,12.0,26.25
2025-07-25 10:52:00+05:30,3.85,12.0,67.92
2025-07-25 10:53:00+05:30,1.9,12.0,84.17
2025-07-25 10:54:00+05:30,-4.05,12.0,133.75
