time,pnl,atp,lowest_retracement_pct
2025-07-25 12:30:00+05:30,0.0,0.0,0.0
2025-07-25 12:31:00+05:30,4.45,4.45,0.0
2025-07-25 12:32:00+05:30,3.8,4.45,14.61
2025-07-25 12:33:00+05:30,7.3,7.3,0.0
2025-07-25 12:34:00+05:30,-0.25,7.3,103.42
2025-07-25 12:35:00+05:30,6.25,7.3,103.42
2025-07-25 12:36:00+05:30,14.9,14.9,0.0
2025-07-25 12:37:00+05:30,22.4,22.4,0.0
2025-07-25 12:38:00+05:30,27.95,27.95,0.0
2025-07-25 12:39:00+05:30,38.85,38.85,0.0
2025-07-25 12:40:00+05:30,47.3,47.3,0.0
2025-07-25 12:41:00+05:30,29.9,47.3,36.79
2025-07-25 12:42:00+05:30,28.35,47.3,40.06
2025-07-25 12:43:00+05:30,33.6,47.3,40.06
2025-07-25 12:44:00+05:30,32.55,47.3,40.06
2025-07-25 12:45:00+05:30,36.05,47.3,40.06
2025-07-25 12:46:00+05:30,36.35,47.3,40.06
2025-07-25 12:47:00+05:30,35.8,47.3,40.06
2025-07-25 12:48:00+05:30,40.35,47.3,40.06
2025-07-25 12:49:00+05:30,40.85,47.3,40.06
2025-07-25 12:50:00+05:30,42.4,47.3,40.06
2025-07-25 12:51:00+05:30,29.15,47.3,40.06
2025-07-25 12:52:00+05:30,29.6,47.3,40.06
