time,pnl,atp,lowest_retracement_pct
2025-07-25 14:02:00+05:30,0.0,0.0,0.0
2025-07-25 14:03:00+05:30,3.65,3.65,0.0
2025-07-25 14:04:00+05:30,8.2,8.2,0.0
2025-07-25 14:05:00+05:30,14.5,14.5,0.0
2025-07-25 14:06:00+05:30,23.5,23.5,0.0
2025-07-25 14:07:00+05:30,24.25,24.25,0.0
2025-07-25 14:08:00+05:30,19.6,24.25,19.18
2025-07-25 14:09:00+05:30,19.1,24.25,21.24
2025-07-25 14:10:00+05:30,22.8,24.25,21.24
2025-07-25 14:11:00+05:30,19.8,24.25,21.24
2025-07-25 14:12:00+05:30,19.8,24.25,21.24
2025-07-25 14:13:00+05:30,21.15,24.25,21.24
2025-07-25 14:14:00+05:30,28.25,28.25,0.0
2025-07-25 14:15:00+05:30,23.1,28.25,18.23
2025-07-25 14:16:00+05:30,25.65,28.25,18.23
2025-07-25 14:17:00+05:30,24.9,28.25,18.23
2025-07-25 14:18:00+05:30,28.0,28.25,18.23
2025-07-25 14:19:00+05:30,25.6,28.25,18.23
2025-07-25 14:20:00+05:30,22.55,28.25,20.18
2025-07-25 14:21:00+05:30,21.95,28.25,22.3
2025-07-25 14:22:00+05:30,21.75,28.25,23.01
