entry_time,exit_time,entry_action,exit_action,entry_price,exit_price,pnl,cum_pnl,cum_max,drawdown
2025-07-25 12:52:00+05:30,2025-07-25 13:01:00+05:30,SELL,BUY,24861.75,24866.55,-4.8,-48.05,19.5,-67.55
2025-07-25 13:01:00+05:30,2025-07-25 13:03:00+05:30,BUY,SELL,24866.55,24852.85,-13.7,-61.75,19.5,-81.25
2025-07-25 13:03:00+05:30,2025-07-25 13:07:00+05:30,SELL,BUY,24852.85,24867.65,-14.8,-76.55,19.5,-96.05
2025-07-25 13:07:00+05:30,2025-07-25 13:11:00+05:30,BUY,SELL,24867.65,24853.6,-14.05,-90.6,19.5,-110.1
2025-07-25 13:11:00+05:30,2025-07-25 13:19:00+05:30,SELL,BUY,24853.6,24860.4,-6.8,-97.4,19.5,-116.9
2025-07-25 13:19:00+05:30,2025-07-25 13:29:00+05:30,BUY,SELL,24860.4,24856.35,-4.05,-101.45,19.5,-120.95
2025-07-25 13:29:00+05:30,2025-07-25 13:39:00+05:30,SELL,BUY,24856.35,24851.5,4.85,-96.6,19.5,-116.1
2025-07-25 13:39:00+05:30,2025-07-25 14:02:00+05:30,BUY,SELL,24851.5,24867.6,16.1,-80.5,19.5,-100.0
2025-07-25 14:02:00+05:30,2025-07-25 14:22:00+05:30,SELL,BUY,24867.6,24845.85,21.75,-58.75,19.5,-78.25
2025-07-25 14:22:00+05:30,2025-07-25 14:26:00+05:30,BUY,SELL,24845.85,24838.6,-7.25,-66.0,19.5,-85.5
2025-07-25 14:26:00+05:30,2025-07-25 14:38:00+05:30,SELL,BUY,24838.6,24839.55,-0.95,-66.95,19.5,-86.45
2025-07-25 14:38:00+05:30,2025-07-25 14:43:00+05:30,BUY,SELL,24839.55,24831.3,-8.25,-75.2,19.5,-94.7
2025-07-25 14:43:00+05:30,2025-07-25 14:57:00+05:30,SELL,BUY,24831.3,24830.1,1.2,-74.0,19.5,-93.5
2025-07-25 14:57:00+05:30,2025-07-25 15:04:00+05:30,BUY,SELL,24830.1,24829.55,-0.55,-74.55,19.5,-94.05
2025-07-25 15:04:00+05:30,2025-07-25 15:05:00+05:30,SELL,BUY,24829.55,24831.45,-1.9,-76.45,19.5,-95.95
2025-07-25 15:05:00+05:30,2025-07-25 15:16:00+05:30,BUY,SELL,24831.45,24837.15,5.7,-70.75,19.5,-90.25
2025-07-25 15:16:00+05:30,2025-07-25 15:22:00+05:30,SELL,BUY,24837.15,24840.7,-3.55,-74.3,19.5,-93.8
2025-07-25 15:22:00+05:30,2025-07-25 15:26:00+05:30,BUY,SELL,24840.7,24835.4,-5.3,-79.6,19.5,-99.1
2025-07-25 15:26:00+05:30,2025-07-25 15:29:00+05:30,SELL,BUY,24835.4,24832.2,3.2,-76.4,19.5,-95.9
