entry_time,exit_time,entry_action,exit_action,entry_price,exit_price,pnl,trade_journey
2025-07-25 09:27:00+05:30,2025-07-25 09:35:00+05:30,BUY,SELL,24943.0,24962.5,19.5,"[{'time': '2025-07-25 09:27:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 09:28:00+05:30', 'pnl': 30.5}, {'time': '2025-07-25 09:29:00+05:30', 'pnl': 47.849999999998545}, {'time': '2025-07-25 09:30:00+05:30', 'pnl': 38.45000000000073}, {'time': '2025-07-25 09:31:00+05:30', 'pnl': 39.349999999998545}, {'time': '2025-07-25 09:32:00+05:30', 'pnl': 25.599999999998545}, {'time': '2025-07-25 09:33:00+05:30', 'pnl': 29.900000000001455}, {'time': '2025-07-25 09:34:00+05:30', 'pnl': 7.0}, {'time': '2025-07-25 09:35:00+05:30', 'pnl': 19.5}]"
2025-07-25 09:35:00+05:30,2025-07-25 09:38:00+05:30,SELL,BUY,24962.5,24978.15,-15.650000000001455,"[{'time': '2025-07-25 09:35:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 09:36:00+05:30', 'pnl': 7.200000000000728}, {'time': '2025-07-25 09:37:00+05:30', 'pnl': -3.9500000000007276}, {'time': '2025-07-25 09:38:00+05:30', 'pnl': -15.650000000001455}]"
2025-07-25 09:38:00+05:30,2025-07-25 09:41:00+05:30,BUY,SELL,24978.15,24947.65,-30.5,"[{'time': '2025-07-25 09:38:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 09:39:00+05:30', 'pnl': -4.650000000001455}, {'time': '2025-07-25 09:40:00+05:30', 'pnl': -15.200000000000728}, {'time': '2025-07-25 09:41:00+05:30', 'pnl': -30.5}]"
2025-07-25 09:41:00+05:30,2025-07-25 09:53:00+05:30,SELL,BUY,24947.65,24930.3,17.350000000002183,"[{'time': '2025-07-25 09:41:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 09:42:00+05:30', 'pnl': 8.200000000000728}, {'time': '2025-07-25 09:43:00+05:30', 'pnl': 12.150000000001455}, {'time': '2025-07-25 09:44:00+05:30', 'pnl': 21.30000000000291}, {'time': '2025-07-25 09:45:00+05:30', 'pnl': 23.650000000001455}, {'time': '2025-07-25 09:46:00+05:30', 'pnl': 23.650000000001455}, {'time': '2025-07-25 09:47:00+05:30', 'pnl': 28.350000000002183}, {'time': '2025-07-25 09:48:00+05:30', 'pnl': 32.150000000001455}, {'time': '2025-07-25 09:49:00+05:30', 'pnl': 25.5}, {'time': '2025-07-25 09:50:00+05:30', 'pnl': 5.0}, {'time': '2025-07-25 09:51:00+05:30', 'pnl': 16.05000000000291}, {'time': '2025-07-25 09:52:00+05:30', 'pnl': 20.05000000000291}, {'time': '2025-07-25 09:53:00+05:30', 'pnl': 17.350000000002183}]"
2025-07-25 09:53:00+05:30,2025-07-25 09:54:00+05:30,BUY,SELL,24930.3,24923.1,-7.200000000000728,"[{'time': '2025-07-25 09:53:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 09:54:00+05:30', 'pnl': -7.200000000000728}]"
2025-07-25 09:54:00+05:30,2025-07-25 09:56:00+05:30,SELL,BUY,24923.1,24941.85,-18.75,"[{'time': '2025-07-25 09:54:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 09:55:00+05:30', 'pnl': -7.80000000000291}, {'time': '2025-07-25 09:56:00+05:30', 'pnl': -18.75}]"
2025-07-25 09:56:00+05:30,2025-07-25 09:59:00+05:30,BUY,SELL,24941.85,24928.55,-13.299999999999272,"[{'time': '2025-07-25 09:56:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 09:57:00+05:30', 'pnl': -7.549999999999272}, {'time': '2025-07-25 09:58:00+05:30', 'pnl': -15.849999999998545}, {'time': '2025-07-25 09:59:00+05:30', 'pnl': -13.299999999999272}]"
2025-07-25 09:59:00+05:30,2025-07-25 10:03:00+05:30,SELL,BUY,24928.55,24937.15,-8.600000000002183,"[{'time': '2025-07-25 09:59:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 10:00:00+05:30', 'pnl': 2.149999999997817}, {'time': '2025-07-25 10:01:00+05:30', 'pnl': 7.549999999999272}, {'time': '2025-07-25 10:02:00+05:30', 'pnl': 0.5499999999992724}, {'time': '2025-07-25 10:03:00+05:30', 'pnl': -8.600000000002183}]"
2025-07-25 10:03:00+05:30,2025-07-25 10:05:00+05:30,BUY,SELL,24937.15,24922.6,-14.55000000000291,"[{'time': '2025-07-25 10:03:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 10:04:00+05:30', 'pnl': -7.25}, {'time': '2025-07-25 10:05:00+05:30', 'pnl': -14.55000000000291}]"
2025-07-25 10:05:00+05:30,2025-07-25 10:43:00+05:30,SELL,BUY,24922.6,24866.35,56.25,"[{'time': '2025-07-25 10:05:00+05:30', 'pnl': 0.0}, {'time': '2025-07-25 10:06:00+05:30', 'pnl': -5.100000000002183}, {'time': '2025-07-25 10:07:00+05:30', 'pnl': 8.69999999999709}, {'time': '2025-07-25 10:08:00+05:30', 'pnl': 3.2999999999992724}, {'time': '2025-07-25 10:09:00+05:30', 'pnl': 10.69999999999709}, {'time': '2025-07-25 10:10:00+05:30', 'pnl': 11.899999999997817}, {'time': '2025-07-25 10:11:00+05:30', 'pnl': 9.849999999998545}, {'time': '2025-07-25 10:12:00+05:30', 'pnl': 13.399999999997817}, {'time': '2025-07-25 10:13:00+05:30', 'pnl': 6.399999999997817}, {'time': '2025-07-25 10:14:00+05:30', 'pnl': 19.299999999999272}, {'time': '2025-07-25 10:15:00+05:30', 'pnl': 33.64999999999782}, {'time': '2025-07-25 10:16:00+05:30', 'pnl': 57.39999999999782}, {'time': '2025-07-25 10:17:00+05:30', 'pnl': 50.94999999999709}, {'time': '2025-07-25 10:18:00+05:30', 'pnl': 56.04999999999927}, {'time': '2025-07-25 10:19:00+05:30', 'pnl': 58.89999999999782}, {'time': '2025-07-25 10:20:00+05:30', 'pnl': 44.69999999999709}, {'time': '2025-07-25 10:21:00+05:30', 'pnl': 48.849999999998545}, {'time': '2025-07-25 10:22:00+05:30', 'pnl': 42.64999999999782}, {'time': '2025-07-25 10:23:00+05:30', 'pnl': 52.099999999998545}, {'time': '2025-07-25 10:24:00+05:30', 'pnl': 48.29999999999927}, {'time': '2025-07-25 10:25:00+05:30', 'pnl': 50.599999999998545}, {'time': '2025-07-25 10:26:00+05:30', 'pnl': 55.0}, {'time': '2025-07-25 10:27:00+05:30', 'pnl': 49.5}, {'time': '2025-07-25 10:28:00+05:30', 'pnl': 55.599999999998545}, {'time': '2025-07-25 10:29:00+05:30', 'pnl': 51.94999999999709}, {'time': '2025-07-25 10:30:00+05:30', 'pnl': 54.25}, {'time': '2025-07-25 10:31:00+05:30', 'pnl': 67.09999999999854}, {'time': '2025-07-25 10:32:00+05:30', 'pnl': 58.25}, {'time': '2025-07-25 10:33:00+05:30', 'pnl': 61.94999999999709}, {'time': '2025-07-25 10:34:00+05:30', 'pnl': 55.5}, {'time': '2025-07-25 10:35:00+05:30', 'pnl': 55.89999999999782}, {'time': '2025-07-25 10:36:00+05:30', 'pnl': 67.75}, {'time': '2025-07-25 10:37:00+05:30', 'pnl': 72.5}, {'time': '2025-07-25 10:38:00+05:30', 'pnl': 70.84999999999854}, {'time': '2025-07-25 10:39:00+05:30', 'pnl': 70.54999999999927}, {'time': '2025-07-25 10:40:00+05:30', 'pnl': 68.25}, {'time': '2025-07-25 10:41:00+05:30', 'pnl': 70.44999999999709}, {'time': '2025-07-25 10:42:00+05:30', 'pnl': 68.0}, {'time': '2025-07-25 10:43:00+05:30', 'pnl': 56.25}]"
